timestamp_x,gFx,gFy,gFz,timestamp2,timestamp_y,distance,speed,heart_rate,cadence,fractional_cadence
0 days 00:01:55.200000,0.6101,-0.6977,0.21790000000000004,0 days 00:01:55,0 days 00:01:55,61.37,2.883,131.0,84.0,0.5
0 days 00:01:55.300000,0.7718999999999999,-0.7452,0.10800000000000001,0 days 00:01:55,0 days 00:01:55,61.37,2.883,131.0,84.0,0.5
0 days 00:01:55.400000,1.8161,-0.654,0.014899999999999991,0 days 00:01:55,0 days 00:01:55,61.37,2.883,131.0,84.0,0.5
0 days 00:01:55.500000,2.1468,0.2233999999999999,0.7302000000000001,0 days 00:01:55,0 days 00:01:55,61.37,2.883,131.0,84.0,0.5
0 days 00:01:55.600000,0.6246,-2.6143,0.6331,0 days 00:01:55,0 days 00:01:55,61.37,2.883,131.0,84.0,0.5
0 days 00:01:55.700000,-1.1076000000000001,-0.9486000000000001,0.29910000000000003,0 days 00:01:55,0 days 00:01:55,61.37,2.883,131.0,84.0,0.5
0 days 00:01:55.800000,-0.7255,-1.4196,0.47450000000000003,0 days 00:01:55,0 days 00:01:55,61.37,2.883,131.0,84.0,0.5
0 days 00:01:55.900000,0.6954,-0.5863,0.0886,0 days 00:01:55,0 days 00:01:55,61.37,2.883,131.0,84.0,0.5
0 days 00:01:56,0.7511,-0.8779,0.0819,0 days 00:01:56,0 days 00:01:56,64.24,2.883,133.0,83.0,0.5
0 days 00:01:56.100000,2.1822,-0.7295,-0.2554,0 days 00:01:56,0 days 00:01:56,64.24,2.883,133.0,83.0,0.5
0 days 00:01:56.200000,1.4707000000000001,0.1322,-0.06230000000000004,0 days 00:01:56,0 days 00:01:56,64.24,2.883,133.0,83.0,0.5
0 days 00:01:56.300000,0.9648888888888888,-2.4566666666666666,0.7784444444444445,0 days 00:01:56,0 days 00:01:56,64.24,2.883,133.0,83.0,0.5
0 days 00:01:56.400000,-1.1226363636363637,-1.109909090909091,0.3478181818181818,0 days 00:01:56,0 days 00:01:56,64.24,2.883,133.0,83.0,0.5
0 days 00:01:56.500000,-0.7772222222222223,-1.4304444444444444,0.48344444444444445,0 days 00:01:56,0 days 00:01:56,64.24,2.883,133.0,83.0,0.5
0 days 00:01:56.600000,0.4572727272727273,-0.7934545454545454,0.28054545454545454,0 days 00:01:56,0 days 00:01:56,64.24,2.883,133.0,83.0,0.5
0 days 00:01:56.700000,0.7703333333333333,-0.7047777777777777,0.12322222222222222,0 days 00:01:56,0 days 00:01:56,64.24,2.883,133.0,83.0,0.5
0 days 00:01:56.800000,2.0799,-0.8426,0.044500000000000005,0 days 00:01:56,0 days 00:01:56,64.24,2.883,133.0,83.0,0.5
0 days 00:01:56.900000,2.0944,-0.612,-0.49119999999999997,0 days 00:01:56,0 days 00:01:56,64.24,2.883,133.0,83.0,0.5
0 days 00:01:57,1.0539,-2.1682,0.6799999999999999,0 days 00:01:57,0 days 00:01:57,67.62,3.368,135.0,83.0,0.5
0 days 00:01:57.100000,-1.0152,-1.4211,0.3814,0 days 00:01:57,0 days 00:01:57,67.62,3.368,135.0,83.0,0.5
0 days 00:01:57.200000,-0.8511,-1.2302,0.3431,0 days 00:01:57,0 days 00:01:57,67.62,3.368,135.0,83.0,0.5
0 days 00:01:57.300000,0.21509999999999999,-0.8827,0.1341,0 days 00:01:57,0 days 00:01:57,67.62,3.368,135.0,83.0,0.5
0 days 00:01:57.400000,0.9441,-0.5977,0.047700000000000006,0 days 00:01:57,0 days 00:01:57,67.62,3.368,135.0,83.0,0.5
0 days 00:01:57.500000,1.7764,-0.9343,0.1535,0 days 00:01:57,0 days 00:01:57,67.62,3.368,135.0,83.0,0.5
0 days 00:01:57.600000,2.1047000000000002,-2.2477,-0.49400000000000005,0 days 00:01:57,0 days 00:01:57,67.62,3.368,135.0,83.0,0.5
0 days 00:01:57.700000,1.2982,-1.8481,0.6582,0 days 00:01:57,0 days 00:01:57,67.62,3.368,135.0,83.0,0.5
0 days 00:01:57.800000,-0.9934,-1.509,0.34700000000000003,0 days 00:01:57,0 days 00:01:57,67.62,3.368,135.0,83.0,0.5
0 days 00:01:57.900000,-0.9179999999999999,-1.1343999999999999,0.4093,0 days 00:01:57,0 days 00:01:57,67.62,3.368,135.0,83.0,0.5
0 days 00:01:58,0.19570000000000004,-0.9569000000000001,0.14550000000000002,0 days 00:01:58,0 days 00:01:58,71.06,3.434,138.0,83.0,0.5
0 days 00:01:58.100000,0.6258,-0.5596,0.001899999999999999,0 days 00:01:58,0 days 00:01:58,71.06,3.434,138.0,83.0,0.5
0 days 00:01:58.200000,1.5801,-1.3237999999999999,0.2617,0 days 00:01:58,0 days 00:01:58,71.06,3.434,138.0,83.0,0.5
0 days 00:01:58.300000,1.9654,-2.3186,-0.25949999999999995,0 days 00:01:58,0 days 00:01:58,71.06,3.434,138.0,83.0,0.5
0 days 00:01:58.400000,1.4694,-1.6105,0.6937,0 days 00:01:58,0 days 00:01:58,71.06,3.434,138.0,83.0,0.5
0 days 00:01:58.500000,-0.7935000000000001,-1.6837,0.3093,0 days 00:01:58,0 days 00:01:58,71.06,3.434,138.0,83.0,0.5
0 days 00:01:58.600000,-0.8962,-1.209,0.5142,0 days 00:01:58,0 days 00:01:58,71.06,3.434,138.0,83.0,0.5
